,channel_name,subscribers,views,videos,channel_title,channel_id
64,Data Analyst,2,4,1,Data Analyst,UCYxXdWRktQmnpoW9M6LS8GA
65,Data Analyst,2,4,1,Data Analyst,UCewpdIWOiedpGfcyHxvNbtw
66,Data Analyst,2,4,1,Data Analyst,UC2wo1S0CQ3iynnGNDcXaKWw
67,Data Analyst,2,4,1,Data Analyst,UCvWOJZj0O9KenBbNF_RADNQ
68,Data Analyst,2,4,1,Data Analyst,UChIVKSEWCp_57XK4jKGhJiQ
69,Data Analyst,2,4,1,Data Analyst,UCJqK3bPFJr5WVPKvtuZjSdA
70,Data Analyst,2,4,1,Data Analyst,UCSwTlL3FHopn77IwFSEyGzA
71,Data Analyst,2,4,1,Data Analyst,UCjumkEO3LS8qlRZ331DR5HQ
72,Data Analyst,2,4,1,Data Analyst,UCmgMd8uJJF7yW28U1OEzTmg
73,L'Atelier Data,2050,49380,18,L'Atelier Data,UCU4WWGf9QzTH9UjgKg9PN0Q
74,Bhargavi - Data Analyst,323,3472,8,Bhargavi - Data Analyst,UCto9iONQdirtQUlfYeUyknw
75,Data Analyst Mentor,200,4764,14,Data Analyst Mentor,UCVipKAIO1dIzlVNHJmKcWaQ
76,Storytelling by Data ,2180,61897,49,Storytelling by Data ,UC-TXcMOtjJVhDgo5C7pP7pw
77,Ngomongin Data Science dan AI,355,8914,10,Ngomongin Data Science dan AI,UCnY0fUM0HSvbckPwPpIXmTA
78,Data Scientist,28,1830,13,Data Scientist,UCoaCkgU8qvF2Yb6T6B4uz4w
79,Sam The Data Analyst,19,359,7,Sam The Data Analyst,UCVD2F7dYFKzRJTRz1OGhDPQ
80,Avery Smith - Data Career Jumpstart,5110,41660,64,Avery Smith - Data Career Jumpstart,UCuyfszBAd3gUt9vAbC1dfqA
81,Esteka-Data,101,13895,14,Esteka-Data,UCWRptY1HAsf1l_SH-8iaa4A
82,Data Driven Thinking,572,22488,21,Data Driven Thinking,UCpmwW_X4F9-ZcOTx10WFhjw
83,Vancouver Women in Data Science,286,6399,28,Vancouver Women in Data Science,UCRLazM0-4DRSTN4an4gv6ZA
84,Practicum: Coding bootcamps,1230,33243,38,Practicum: Coding bootcamps,UCCIwsFWZNuugtW1U2X89t7A
85,Art of Data Science,655,17000,43,Art of Data Science,UC31nn91mSmS3MEokVhwmQwg
