,channel_title,channel_id
104,Data Science Academy,UCyoi9yYaQRQ2F34wDLosr2A
105,DATA SCIENCE LOVERS,UCwk47V1XafOrw83d_vwwGhg
108,Data Science Simplified,UCNMawpMow-lW5d2svGhOEbw
109,Stanford,UC-EnprmCZ3OXyAoG7vjVNCA
110,DataScience RoadMap,UCAEgip72UcvYwjcqzcJ1I2g
111,Datascience Concepts,UCtjldWnIlGpeTuqcniM9jSQ
112,Chai Time Data Science,UCRjtBP-o5FbgRzX2BHQEFtQ
113,ARTEde,UCLLibJTCy3sXjHLVaDimnpQ
114,UWaterloo Data Science,UCknY88pglf2xz_S72WHIDxg
115,Project Data Science,UCM7_uh02Xqv4PFKbyIasP4g
116,Hertie School Data Science Lab,UCfqX9h4wkDzXQIdfcrpLBMQ
117,BGUonline,UCYFtXv4sVvXV55IX01sKKJQ
118,yuzaR Data Science,UCcGXGFClRdnrwXsPHi7P4ZA
119,Sundas Khalid,UCteRPiisgIoHtMgqHegpWAQ
121,Data Science Career Coach,UCcLYXkT37EAs0Ocn1WZ2OxQ
122,The Data Scientist Show - Daliana Liu,UCa0RTSXWyZdh7IciV9r-3ow
123,Mr Fugu Data Science,UCbni-TDI-Ub8VlGaP8HLTNw
124,Data Interview Pro,UCAWsBMQY4KSuOuGODki-l7A
125,Data Science for Everyone,UCk13_EXljNVOEQTAbaJo8zA
126,Data Science Discovery,UCENZdgI5QqhRjo4VeAseUhA
128,Data Science Portugal,UCHh0Dt0uUKKJtdBvgGJB66A
129,The Morpheus Tutorials,UCLGY6_j7kZfA1dmmjR1J_7w
130,Data Science with Partha,UC9TEQJ6XTQguuQzjb9cK1vg
131,Data & Science with Glen Wright Colopy,UCkEz2tDR5K6AjlKw-JrV57w
132,ExploreAI Academy,UCaHBnY0vcGeVRi35JeABNuA
133,Data Science Institute,UC2DZR6PvG3hEdFuKI1n29Cg
134,BHF Data Science Centre,UCvpInOwkV-Di0Kt6HwizbDw
135,Super Data Science Podcast with Jon Krohn,UCMbtqTGdSsxYYhhTpV4lSTQ
136,DataScience FEM,UC1TcfNUIWwzY49ivkxi7wmg
137,Data Science Guy,UCPJXxmrw1NRmOwdZtLM694g
139,Szymon,UCF-9Q4sQOeW3roS_YlizC8g
140,Bevan Smith Data Science,UCLWxzh4RUifJJqAL_WRzpzw
141,Life of a Data Scientist,UC4RY5nIFI5zD-EbRF1xqpGw
142,UVA School of Data Science,UC4bIrRImqGd4Ye_KqLpLPeQ
144,Data Science For All,UCsh_olkwDzYfBOpvXvEy6lg
145,DATA SCIENCE IN TAMIL,UCTCMjShTpZg96cXloCO9q1w
146,Art of Data Science,UC31nn91mSmS3MEokVhwmQwg
147,Data Science Society,UC5Uikv2NXsZ4ZEWOGyW__3A
148,Data Science Era,UCXuBy568tWjh8HkDfmQ8PYQ
149,The Data Monk,UCGc-2PbLX8ZSby2GajcO0uw
150,Thu Vu data analytics,UCJQJAI7IjbLcpsjWdSzYz0Q
151,Data Academy,UC-vwOrbubp58mIm9GJeEi1w
152,NYU Data Science,UCjxoi1kA0twXJsVnIq2vMHA
153,MYANMAR DATA SCIENCE,UC0g9jkx4MwsojJfBt1MnWew
154,Data Science Central,UCNFhJ21AoZNp-CiPeuvl7mw
155,Data Guru (Data Science),UCNeF1FuCGYsBEUnOxCk9Jnw
156,Muhammed Essa,UC7OGxluGpaD5NHMNoKj33pw
