,channel_name,subscribers,views,videos,published_date,channel_title,channel_id
90,Naresh i Technologies,962000,106780247,2689,2014-02-18T12:08:13Z,Naresh i Technologies,UC4o8Fdpv3g_AjgShAeivqpA
92,Saravanan Subramanian,12,0,0,2012-04-26T00:34:23Z,Saravanan Subramanian,UCL8On3Vz8LiUK-x1iO5I3aQ
94,Inserm,316000,49081269,1312,2010-02-10T15:57:34Z,Inserm,UCIqFi2jwZI4TIs1hNZz18Mw
96,Derek Banas,1190000,114360795,1223,2008-08-12T15:35:35Z,Derek Banas,UCwRXb5dUK4cvsHbx-rGzSgw
98,KongRuksiam Official,73100,5301428,1447,2020-08-29T16:26:24.776055Z,KongRuksiam Official,UCQ1r_4x-P-fETLIU4pqf98w
100,Gate Smashers,1010000,182046086,1114,2017-09-25T05:08:33Z,Gate Smashers,UCJihyK0A38SZ6SdJirEdIOw
102,Durga Software Solutions,720000,149132618,24251,2014-02-03T04:15:47Z,Durga Software Solutions,UCbjozK_PYCTLEluFlrJ8UZg
104,Enamul Haque - Digital Deep Dive,27600,440600,160,2020-04-26T17:41:46.479273Z,Enamul Haque - Digital Deep Dive,UC4Z_sGrzfp0ieHEDCcvXm2g
106,RStudio,28500,1457175,493,2014-03-12T14:37:44Z,RStudio,UC3xfbCMLCw1Hh4dWop3XtHg
108,Keith Galli,170000,11470521,75,2016-12-27T20:18:51Z,Keith Galli,UCq6XkhO5SZ66N04IcPbqNcw
110,Roman Brovko,46200,7999755,3329,2012-06-13T11:06:17Z,Roman Brovko,UCiwYG9Bnxfaipnp5ckCSlQw
112,Learnbay,5220,201741,535,2018-11-29T04:13:10Z,Learnbay,UC-ntE_GnjjiUuKYqih9ENYA
114,5 Minutes Engineering,358000,48107312,1481,2018-08-11T11:28:37Z,5 Minutes Engineering,UCyHta2dyCTkf29AB67AYn7A
116,معتز سعد | Motaz Saad,5490,363370,458,2014-11-17T11:08:18Z,معتز سعد | Motaz Saad,UCO1v5hykJ77f0KuQORM9vig
118,Avery Smith - Data Career Jumpstart,5130,42433,64,2020-03-07T14:25:08.49607Z,Avery Smith - Data Career Jumpstart,UCuyfszBAd3gUt9vAbC1dfqA
120,Mega Bagus Herlambang,28000,906868,137,2011-10-22T00:13:47Z,Mega Bagus Herlambang,UCl1pTA9Td9skCcznyLoTdZA
122,Data Science Dojo,87300,4947636,349,2014-08-06T21:12:46Z,Data Science Dojo,UCzL_0nIe8B4-7ShhVPfJkgw
124,Microsoft Developer,389000,29550381,5376,2017-07-27T17:18:27Z,Microsoft Developer,UCsMica-v34Irf9KVTh6xx-g
126,Intellipaat Achievers,260,5732,142,2022-05-17T10:41:59.936273Z,Intellipaat Achievers,UCuKWUhexgd35Sdn9JXb3y1Q
128,Romi Satria Wahono,25700,683253,35,2013-08-19T07:06:51Z,Romi Satria Wahono,UC5doOVYHCFxZmNVLh2h8ezg
130,Great Learning,683000,86445584,1780,2013-04-03T12:17:17Z,Great Learning,UCObs0kLIrDjX2LLSybqNaEA
132,RR ITEC,3820,517574,344,2011-12-30T14:00:12Z,RR ITEC,UC_iBvyQAZQjSJvUerbL3zOQ
134,KNIMETV,18600,2090278,454,2012-04-18T12:58:06Z,KNIMETV,UCRbKmV_XYB7C12SPBokLVHQ
136,Tübingen Machine Learning,21200,1033808,489,2020-03-31T11:32:27.963571Z,Tübingen Machine Learning,UCupmCsCA5CFXmm31PkUhEbA
